yy;cluster;sintesi;modello
2013-01-01;1;4.02024434220823;chirps
2013-01-01;4;3.436251185650923;chirps
2013-01-01;7;13.396447349977098;chirps
2013-01-01;10;28.425396025937516;chirps
2013-01-01;13;38.77081894833181;chirps
2013-02-01;1;3.130270599411915;chirps
2013-02-01;4;1.8152736583153612;chirps
2013-02-01;7;11.6929792156443;chirps
2013-02-01;10;22.93781077352469;chirps
2013-02-01;13;18.0513447208537;chirps
2013-03-01;1;21.093917364254594;chirps
2013-03-01;4;51.73716997167338;chirps
2013-03-01;7;61.09157193079591;chirps
2013-03-01;10;122.40570791562398;chirps
2013-03-01;13;130.94967962194372;chirps
2013-04-01;1;38.25106218541623;chirps
2013-04-01;4;110.87025731387345;chirps
2013-04-01;7;88.31052248477936;chirps
2013-04-01;10;186.58833853403726;chirps
2013-04-01;13;176.84613927205405;chirps
2013-05-01;1;87.3569586277008;chirps
2013-05-01;4;36.78236443763194;chirps
2013-05-01;7;173.0861022949219;chirps
2013-05-01;10;139.2039532661438;chirps
2013-05-01;13;33.11862639806889;chirps
2013-06-01;1;135.83136609196663;chirps
2013-06-01;4;5.293286975676567;chirps
2013-06-01;7;206.42962608337402;chirps
2013-06-01;10;66.38681100681424;chirps
2013-06-01;13;9.692918778017715;chirps
2013-07-01;1;181.9187548160553;chirps
2013-07-01;4;11.007983770592672;chirps
2013-07-01;7;239.97274208068848;chirps
2013-07-01;10;76.96482925613721;chirps
2013-07-01;13;8.322963185884335;chirps
2013-08-01;1;181.67042088508606;chirps
2013-08-01;4;8.825912686976928;chirps
2013-08-01;7;236.32048950195312;chirps
2013-08-01;10;93.13866738478343;chirps
2013-08-01;13;10.740250923429373;chirps
2013-09-01;1;134.09742772579193;chirps
2013-09-01;4;14.71226188670034;chirps
2013-09-01;7;182.13727035522462;chirps
2013-09-01;10;106.68680429458618;chirps
2013-09-01;13;17.857889193075675;chirps
2013-10-01;1;66.94530420005322;chirps
2013-10-01;4;70.8225403163744;chirps
2013-10-01;7;151.0165114402771;chirps
2013-10-01;10;115.13796472549438;chirps
2013-10-01;13;28.553021996109575;chirps
2013-11-01;1;17.723101411480457;chirps
2013-11-01;4;50.71369436668313;chirps
2013-11-01;7;65.30198135972023;chirps
2013-11-01;10;101.71283694108327;chirps
2013-11-01;13;91.43915642632379;chirps
2013-12-01;1;2.452553122098834;chirps
2013-12-01;4;5.43128341179698;chirps
2013-12-01;7;11.338541450095363;chirps
2013-12-01;10;48.64857770254215;chirps
2013-12-01;13;91.84429324114764;chirps
2014-01-01;1;2.505396443066932;chirps
2014-01-01;4;1.3690940562917049;chirps
2014-01-01;7;7.91154207540676;chirps
2014-01-01;10;18.116976263622444;chirps
2014-01-01;13;18.4234865942487;chirps
2014-02-01;1;6.388084145090987;chirps
2014-02-01;4;4.72949470202195;chirps
2014-02-01;7;14.111766477301718;chirps
2014-02-01;10;36.30384485278286;chirps
2014-02-01;13;57.390591934875204;chirps
2014-03-01;1;29.658585169236176;chirps
2014-03-01;4;20.162961831584283;chirps
2014-03-01;7;81.80033310949803;chirps
2014-03-01;10;105.09970228870709;chirps
2014-03-01;13;116.18459277682834;chirps
2014-04-01;1;67.24313193559647;chirps
2014-04-01;4;43.601089750683826;chirps
